"","ca","dm","ff","uk","jp"
"223",1.1782,1.892,4.3405,0.507949,189.3
"224",1.1727,1.9153,4.4205,0.513795,194.9
"225",1.1735,1.9284,4.423,0.5134,196.9
"226",1.1729,1.9163,4.407,0.512531,197.7
"227",1.1774,1.9096,4.385,0.507666,196.2
"228",1.1832,1.8343,4.202,0.497018,192.9
"229",1.1879,1.8283,4.194,0.493097,195
"230",1.1917,1.8364,4.2175,0.495295,196.9
"231",1.1886,1.8529,4.252,0.498629,196.8
"232",1.1893,1.836,4.219,0.497315,196.6
"233",1.1902,1.8466,4.241,0.501077,198.1
"234",1.2007,1.8616,4.2745,0.501102,201.3
"235",1.1937,1.8469,4.2485,0.497909,198
"236",1.1932,1.8565,4.276,0.4996,200.3
"237",1.1957,1.8565,4.2825,0.498206,201.7
"238",1.1936,1.8515,4.269,0.494218,202.2
"239",1.1859,1.856,4.2845,0.493267,204.4
"240",1.1724,1.8614,4.284,0.4901,208.3
"241",1.1677,1.8675,4.2985,0.491256,206.9
"242",1.1642,1.8624,4.289,0.486997,207
"243",1.1545,1.8827,4.324,0.483746,216.7
"244",1.1468,1.8974,4.3545,0.476327,212.6
"245",1.1417,1.897,4.3623,0.480423,217.6
"246",1.1414,1.8939,4.354,0.486618,218.5
"247",1.1421,1.8995,4.3688,0.484027,224.5
"248",1.1606,1.896,4.3745,0.483905,216.4
"249",1.1567,1.9065,4.4058,0.485673,214.7
"250",1.1565,1.9197,4.4393,0.488329,219.8
"251",1.1612,1.9191,4.4415,0.485861,222.5
"252",1.1743,1.9159,4.4313,0.481186,220.7
"253",1.1723,1.9108,4.4265,0.477213,220
"254",1.1746,1.8597,4.313,0.470367,218.7
"255",1.1641,1.8476,4.285,0.463499,216
"256",1.1631,1.8367,4.2705,0.448732,217.4
"257",1.1604,1.8265,4.2545,0.447267,210.95
"258",1.1643,1.8031,4.199,0.436967,216
"259",1.1661,1.8145,4.229,0.431816,214.5
"260",1.1724,1.8287,4.2565,0.444781,216.9
"261",1.1708,1.8325,4.252,0.451467,216.5
"262",1.173,1.8298,4.2663,0.446608,216.75
"263",1.1674,1.831,4.2613,0.450938,217.75
"264",1.1719,1.8316,4.2688,0.444741,221.5
"265",1.1694,1.8208,4.246,0.445831,221.7
"266",1.162,1.8116,4.2295,0.449458,222.2
"267",1.1651,1.8066,4.2235,0.466962,223.8
"268",1.167,1.7688,4.153,0.460851,222.5
"269",1.1631,1.7495,4.1185,0.457457,225.2
"270",1.1734,1.7865,4.1925,0.461148,226
"271",1.1765,1.7954,4.2115,0.465419,232.9
"272",1.1837,1.8035,4.2235,0.474383,234.7
"273",1.1846,1.8066,4.2143,0.481672,237.7
"274",1.1848,1.7869,4.196,0.478698,239.8
"275",1.1827,1.7823,4.1805,0.474947,246
"276",1.1737,1.7565,4.1208,0.459559,247
"277",1.1731,1.7435,4.1025,0.461681,249.7
"278",1.1663,1.7375,4.0905,0.458253,247.5
"279",1.1616,1.7295,4.062,0.453823,237
"280",1.1764,1.7324,4.053,0.454112,239.8
"281",1.1755,1.7239,4.0475,0.449539,238.5
"282",1.1659,1.7145,4.0135,0.449135,237.5
"283",1.1686,1.7127,4.011,0.442478,236
"284",1.1641,1.7306,4.0555,0.438789,238.7
"285",1.1604,1.7303,4.055,0.43956,239.4
"286",1.1616,1.734,4.0595,0.442008,239.3
"287",1.1598,1.7414,4.078,0.435104,240.25
"288",1.1613,1.7374,4.067,0.433539,241.8
"289",1.1551,1.746,4.0915,0.43929,246
"290",1.1454,1.7649,4.1428,0.437311,248
"291",1.147,1.7897,4.1975,0.447127,247.6
"292",1.167,1.8017,4.224,0.447367,247.4
"293",1.176,1.876,4.367,0.459996,249
"294",1.188,1.8902,4.3873,0.454215,248.95
"295",1.1904,1.9664,4.526,0.466114,258
"296",1.1816,1.896,4.379,0.460087,257.8
"297",1.1873,1.8908,4.3755,0.45498,252.5
"298",1.1802,1.842,4.2893,0.443656,248.7
"299",1.1878,1.8015,4.2035,0.441306,239
"300",1.1847,1.785,4.1778,0.437158,230.8
"301",1.1748,1.7914,4.205,0.43735,228.3
"302",1.1591,1.7926,4.1728,0.433107,226.3
"303",1.1624,1.7717,4.134,0.423191,222.7
"304",1.1585,1.7757,4.156,0.430942,221.9
"305",1.1468,1.7635,4.1103,0.428137,217
"306",1.1495,1.7636,4.1075,0.429129,215.9
"307",1.1527,1.7692,4.105,0.428596,216.8
"308",1.1468,1.7615,4.083,0.423639,219.4
"309",1.1454,1.7362,4.032,0.421248,219.3
"310",1.1515,1.7476,4.0575,0.42187,219.4
"311",1.1538,1.7396,4.036,0.419041,223.2
"312",1.1668,1.7621,4.0875,0.421834,225.8
"313",1.1562,1.7708,4.099,0.422279,225.9
"314",1.1594,1.7754,4.1165,0.420504,223
"315",1.1609,1.7892,4.1638,0.422744,224.3
"316",1.1588,1.8011,4.182,0.418866,218.7
"317",1.1581,1.7804,4.1395,0.413822,216.3
"318",1.1618,1.7804,4.1395,0.416667,216.85
"319",1.1708,1.7812,4.1425,0.418253,211.1
"320",1.1656,1.8006,4.18,0.416025,215.5
"321",1.1707,1.8055,4.1835,0.418848,209.5
"322",1.1681,1.8033,4.1825,0.417955,207.8
"323",1.165,1.8333,4.2345,0.415438,207.1
"324",1.1677,1.8691,4.3125,0.410576,208.5
"325",1.1742,1.8942,4.3575,0.409618,211
"326",1.1842,1.9442,4.475,0.409584,211.9
"327",1.1889,1.9052,4.421,0.418235,212.3
"328",1.185,1.905,4.4248,0.418148,213
"329",1.1879,1.9178,4.452,0.421408,214.2
"330",1.1943,1.9445,4.5055,0.427095,214.6
"331",1.1997,1.9993,4.6195,0.427991,208.6
"332",1.2075,2.0015,4.654,0.431034,208.7
"333",1.1914,1.958,4.518,0.421941,207.8
"334",1.1879,1.9401,4.4915,0.413138,199.7
"335",1.1908,1.9925,4.6115,0.417711,203.2
"336",1.1892,1.9885,4.606,0.412201,199.9
"337",1.1944,2.0845,4.8065,0.415662,203.1
"338",1.1952,2.1318,4.901,0.42526,204.5
"339",1.1965,2.1493,4.957,0.428266,204.5
"340",1.2033,2.1645,5.0115,0.440044,206
"341",1.1975,2.1018,4.9325,0.448129,207.15
"342",1.2026,2.1222,4.9995,0.451467,208.9
"343",1.1993,2.1117,4.99,0.449741,207.6
"344",1.1818,2.0647,4.87,0.440432,206.5
"345",1.1833,2.088,4.9215,0.441696,209.1
"346",1.1831,2.0966,4.9495,0.44611,212.1
"347",1.1848,2.1233,5.0105,0.453576,212.9
"348",1.1972,2.1736,5.1295,0.461894,216.2
"349",1.1933,2.1749,5.1455,0.460448,217.95
"350",1.1971,2.2043,5.2265,0.466744,215
"351",1.1989,2.2577,5.335,0.472144,217.2
"352",1.2011,2.286,5.5125,0.477897,219.2
"353",1.2015,2.288,5.5065,0.478469,222.3
"354",1.2022,2.344,5.543,0.484543,224.3
"355",1.207,2.3615,5.599,0.495909,223.4
"356",1.2024,2.37,5.643,0.508776,227.5
"357",1.2051,2.3863,5.562,0.499875,220.75
"358",1.1994,2.3685,5.695,0.503474,223
"359",1.2025,2.4074,5.7455,0.523697,227.6
"360",1.2058,2.4645,5.825,0.528961,229.1
"361",1.2038,2.4275,5.77,0.53234,231
"362",1.2127,2.447,5.8225,0.539229,234.7
"363",1.2269,2.4445,5.804,0.540979,237.7
"364",1.2422,2.506,5.9815,0.5527,240
"365",1.2291,2.5435,6.075,0.559128,234
"366",1.2117,2.49,5.9575,0.544514,230.3
"367",1.2142,2.4875,5.9625,0.545108,230.3
"368",1.1958,2.437,5.835,0.543036,230.3
"369",1.2089,2.43,5.822,0.559816,233
"370",1.2022,2.3254,5.587,0.541712,228.7
"371",1.1982,2.2822,5.439,0.546448,228.4
"372",1.2068,2.3225,5.567,0.555401,232.7
"373",1.1988,2.2165,5.5585,0.536913,230.2
"374",1.2011,2.2275,5.5905,0.539374,229.3
"375",1.2054,2.2545,5.6555,0.547495,232.8
"376",1.2074,2.299,5.7685,0.550206,235
"377",1.1968,2.207,5.555,0.531943,228.7
"378",1.1898,2.2138,5.583,0.532481,229.4
"379",1.1795,2.2255,5.6715,0.528123,224.2
"380",1.1798,2.2277,5.62,0.519669,215.1
"381",1.1774,2.228,5.634,0.513215,215.5
"382",1.1832,2.2449,5.669,0.520156,218.2
"383",1.1921,2.27,5.756,0.527704,217.9
"384",1.1816,2.2775,5.767,0.527537,220.1
"385",1.1857,2.2479,5.707,0.519805,218.45
"386",1.1903,2.2809,5.793,0.532481,223.2
"387",1.1945,2.304,5.869,0.53042,225.5
"388",1.197,2.309,5.868,0.533134,228.5
"389",1.2072,2.344,5.965,0.534616,233.1
"390",1.2143,2.3665,6.0075,0.540249,236
"391",1.2183,2.387,6.0635,0.543981,239.3
"392",1.2201,2.3608,6.0195,0.546568,234.4
"393",1.2246,2.3684,6.0535,0.549209,236
"394",1.2128,2.3623,6.0515,0.55209,238.2
"395",1.2153,2.3754,6.133,0.553189,242.2
"396",1.2238,2.3815,6.2295,0.553189,243.1
"397",1.2303,2.4142,6.242,0.561262,246.5
"398",1.2324,2.4082,6.267,0.568343,247.5
"399",1.224,2.4162,6.2815,0.56638,246.75
"400",1.2224,2.3925,6.245,0.564462,243.6
"401",1.2258,2.354,6.1465,0.561451,236.85
"402",1.223,2.3248,6.0625,0.554816,233.4
"403",1.2394,2.2765,5.951,0.542446,232
"404",1.2367,2.3159,6.0015,0.555555,237.4
"405",1.2367,2.3133,6.007,0.555247,239.7
"406",1.2454,2.386,6.214,0.560758,244.4
"407",1.2642,2.4152,6.301,0.564016,247.8
"408",1.2828,2.4305,6.739,0.569314,251.4
"409",1.2989,2.486,6.8955,0.57971,255.8
"410",1.293,2.4598,6.829,0.575275,254
"411",1.2965,2.5145,6.9695,0.584795,259.8
"412",1.2713,2.4955,6.9415,0.57971,257.4
"413",1.2535,2.4407,6.793,0.573625,253.8
"414",1.2609,2.4397,6.7975,0.571951,252.75
"415",1.2533,2.4773,6.8835,0.577167,258.1
"416",1.2535,2.5252,7.024,0.589692,264
"417",1.2403,2.4745,6.8925,0.57867,261.9
"418",1.2337,2.4218,6.815,0.566219,252.4
"419",1.2373,2.4975,7.0115,0.582751,260.1
"420",1.2365,2.4881,7.033,0.580383,257.45
"421",1.2357,2.4998,7.06,0.583363,264.5
"422",1.2282,2.4952,7.05,0.58292,264.5
"423",1.2336,2.5272,7.13,0.588963,268
"424",1.2384,2.5464,7.1945,0.591891,274.8
"425",1.2285,2.5064,7.088,0.58326,266.3
"426",1.228,2.5265,7.1245,0.588651,268.8
"427",1.2277,2.5381,7.162,0.592487,274.3
"428",1.221,2.5533,7.196,0.595061,277.4
"429",1.2206,2.5717,7.2695,0.600709,269.7
"430",1.2256,2.5652,7.24725,0.625978,263.55
"431",1.2288,2.5355,7.1655,0.627274,254.2
"432",1.2411,2.4584,6.95775,0.612445,249.5
"433",1.2414,2.4351,6.905,0.61177,241.6
"434",1.2385,2.4453,6.9335,0.619003,245.3
"435",1.2376,2.3975,6.8025,0.620617,241.5
"436",1.2393,2.3667,6.707,0.616333,233.7
"437",1.2294,2.349,6.658,0.616219,228.7
"438",1.2229,2.3499,6.665,0.633553,230.7
"439",1.225,2.4158,6.8465,0.637146,233.7
"440",1.237,2.4153,6.825,0.646872,236
"441",1.2382,2.4835,7.0355,0.658111,239.8
"442",1.2262,2.4247,6.872,0.647878,238
"443",1.2234,2.4085,6.839,0.649773,233.9
"444",1.2296,2.4236,6.8845,0.659196,235.1
"445",1.2254,2.426,6.8755,0.662032,238.1
"446",1.2274,2.409,6.85,0.664584,239.3
"447",1.2224,2.3867,6.825,0.663174,237.7
"448",1.2274,2.4233,7.2725,0.684791,239.05
"449",1.2307,2.4234,7.2695,0.686719,239.8
"450",1.2344,2.411,7.2315,0.662032,237.6
"451",1.2343,2.4255,7.278,0.646831,238.2
"452",1.2344,2.4595,7.3775,0.642674,237.3
"453",1.2274,2.4527,7.357,0.638325,236.6
"454",1.2255,2.4448,7.392,0.631672,236.7
"455",1.2258,2.4409,7.37,0.637552,230.7
"456",1.231,2.4595,7.4065,0.64041,232.75
"457",1.2323,2.4877,7.471,0.633232,236.2
"458",1.2308,2.5411,7.637,0.62751,239.5
"459",1.2356,2.5736,7.7425,0.635163,241.7
"460",1.2373,2.5746,7.7455,0.660939,242.85
"461",1.2277,2.5228,7.593,0.654707,237.85
"462",1.2285,2.5398,7.6255,0.653467,238.8
"463",1.2309,2.5672,7.7135,0.650872,240.35
"464",1.2325,2.5915,7.8115,0.654279,240.6
"465",1.2324,2.5808,7.7625,0.657073,240
"466",1.2331,2.623,7.886,0.654193,240.7
"467",1.2334,2.6613,8.0035,0.664761,242.4
"468",1.2369,2.712,8.169,0.672766,245.4
"469",1.2329,2.6473,7.965,0.662032,244.05
"470",1.2295,2.6423,7.956,0.656814,243.4
"471",1.2337,2.7068,8.1495,0.669658,246.6
"472",1.2317,2.6936,8.1165,0.669075,246.4
"473",1.2336,2.6833,8.1035,0.670107,244.45
"474",1.2323,2.666,8.059,0.664011,242.4
"475",1.2332,2.6382,8.011,0.667245,237.2
"476",1.2311,2.5965,7.9335,0.672766,231.5
"477",1.2328,2.6118,7.989,0.667067,233.6
"478",1.2312,2.5899,7.923,0.66778,232.8
"479",1.2326,2.6131,7.97,0.667869,232.45
"480",1.2329,2.651,8.07,0.673673,234.4
"481",1.2356,2.6747,8.137,0.674309,236.8
"482",1.2367,2.6925,8.137,0.672766,234.55
"483",1.238,2.691,8.196,0.679995,235.3
"484",1.2392,2.697,8.202,0.682734,234
"485",1.2446,2.7347,8.305,0.691133,233.8
"486",1.2506,2.7685,8.475,0.706414,236
"487",1.249,2.7705,8.4725,0.704077,234.95
"488",1.2459,2.7538,8.416,0.69735,233.7
"489",1.2488,2.7865,8.5295,0.705816,233.5
"490",1.2522,2.8258,8.64,0.713572,234.1
"491",1.2484,2.817,8.614,0.710227,234.2
"492",1.2477,2.8253,8.641,0.714184,234.25
"493",1.2473,2.802,8.573,0.711136,234.7
"494",1.2464,2.7493,8.449,0.705617,233.9
"495",1.245,2.695,8.308,0.69667,233.6
"496",1.2478,2.6708,8.236,0.690131,233.5
"497",1.252,2.6058,8.025,0.671592,233.5
"498",1.2602,2.5391,7.831,0.674309,221.7
"499",1.2742,2.5484,7.8545,0.677277,223.3
"500",1.2769,2.6568,8.1805,0.700133,226.3
"501",1.2794,2.6035,8.0065,0.692185,224.5
"502",1.2795,2.62,8.064,0.699692,225.2
"503",1.2777,2.619,8.052,0.697058,225.25
"504",1.2805,2.6434,8.135,0.703928,224.45
"505",1.2792,2.6836,8.248,0.709019,225.6
"506",1.2915,2.7296,8.38175,0.715308,227.1
"507",1.2949,2.7769,8.5315,0.72338,229.1
"508",1.2943,2.7362,8.4055,0.716332,231.1
"509",1.2951,2.7388,8.4425,0.720825,232.75
"510",1.2942,2.7333,8.316,0.722804,231.9
"511",1.2993,2.6847,8.2575,0.716178,230.2
"512",1.3008,2.7168,8.3575,0.721501,232.3
"513",1.3008,2.7573,8.4715,0.727537,232.9
"514",1.3154,2.7805,8.533,0.737844,236.75
"515",1.3232,2.8107,8.627,0.747496,239.5
"516",1.3334,2.8447,8.7325,0.765404,242.6
"517",1.3314,2.8515,8.7565,0.759474,243.35
"518",1.3134,2.8671,8.801,0.754945,246
"519",1.3085,2.9168,8.9445,0.768699,246.3
"520",1.3037,2.9179,8.9485,0.765873,245.3
"521",1.3042,2.8787,8.7805,0.756888,241.15
"522",1.3004,2.8889,8.864,0.762369,242.3
"523",1.2987,2.8815,8.845,0.763359,241.45
"524",1.3044,2.9453,9.0485,0.778877,244.15
"525",1.3139,2.9923,9.185,0.781739,244.7
"526",1.3171,3.085,9.472,0.806582,245.65
"527",1.3176,3.0895,9.4795,0.815461,246
"528",1.3117,3.0195,9.256,0.800641,245.2
"529",1.3168,3.0976,9.4935,0.816327,247.7
"530",1.3269,3.11,9.52,0.830703,249.45
"531",1.3153,3.0274,9.276,0.830358,244.1
"532",1.3147,3.0296,9.066,0.821423,245.25
"533",1.3108,2.9125,8.959,0.785176,242.5
"534",1.316,2.949,9.062,0.782271,241.55
"535",1.3177,2.9895,9.25,0.812678,244.7
"536",1.3235,3.0768,9.441,0.83605,245.55
"537",1.3216,3.0643,9.3875,0.824402,246.2
